Адрес,Порт,Пакеты,Байты,Пакетов отправлено,Байтов отправлено,Пакетов получено,Байтов получено
"192.168.31.21",51617,11,762,6,368,5,394
"192.168.31.21",51618,23,7252,11,3226,12,4026
"192.168.31.21",51619,11,734,6,371,5,363
"192.168.31.21",51620,11,722,6,371,5,351
"192.168.31.21",51621,11,763,6,371,5,392
"192.168.31.21",51622,11,774,6,376,5,398
"192.168.31.21",51623,11,762,6,376,5,386
"192.168.31.21",51624,11,829,6,376,5,453
"192.168.31.21",51625,11,726,6,367,5,359
"192.168.31.21",51626,11,714,6,367,5,347
"192.168.31.21",51627,11,758,6,367,5,391
"192.168.31.21",51628,11,774,6,376,5,398
"192.168.31.21",51629,11,762,6,376,5,386
"192.168.31.21",51630,11,803,6,376,5,427
"192.168.31.21",51633,63,12820,31,4904,32,7916
"192.168.31.21",51634,20,5953,11,2968,9,2985
"192.168.31.21",51635,11,788,6,370,5,418
"192.168.31.21",51636,11,720,6,370,5,350
"192.168.31.21",51637,11,788,6,370,5,418
"192.168.31.21",51638,11,814,6,376,5,438
"192.168.31.21",51639,11,765,6,376,5,389
"192.168.31.21",51640,11,814,6,376,5,438
"192.168.31.21",51641,50,13896,25,5621,25,8275
"192.168.31.21",51642,11,797,6,370,5,427
"192.168.31.21",51643,11,755,6,370,5,385
"192.168.31.21",51644,11,797,6,370,5,427
"192.168.31.21",51645,11,836,6,380,5,456
"192.168.31.21",51646,11,820,6,380,5,440
"192.168.31.21",51647,11,781,6,380,5,401
"192.168.31.21",51648,11,858,6,391,5,467
"192.168.31.21",51649,11,970,6,391,5,579
"192.168.31.21",51650,11,803,6,391,5,412
"192.168.31.21",51651,11,753,6,366,5,387
"192.168.31.21",51652,11,728,6,366,5,362
"192.168.31.21",51653,11,753,6,366,5,387
"192.168.31.21",51654,11,853,6,379,5,474
"192.168.31.21",51655,11,805,6,379,5,426
"192.168.31.21",51656,11,791,6,379,5,412
"192.168.31.21",51657,11,753,6,366,5,387
"192.168.31.21",51658,11,728,6,366,5,362
"192.168.31.21",51659,12,813,6,366,6,447
"192.168.31.21",51660,11,856,6,370,5,486
"192.168.31.21",51661,11,830,6,370,5,460
"192.168.31.21",51662,11,856,6,370,5,486
"192.168.31.21",51663,18,1066,12,688,6,378
"192.168.31.21",51664,16,934,10,556,6,378
"192.168.31.21",51665,31,11007,20,4353,11,6654
"192.168.31.21",51666,27,10890,12,2466,15,8424
"192.168.31.21",51667,24,6950,16,2878,8,4072
"192.168.31.21",51668,11,849,6,372,5,477
"192.168.31.21",51669,11,809,6,372,5,437
"192.168.31.21",51670,11,854,6,372,5,482
"192.168.31.21",51673,41,14089,19,3913,22,10176
"192.168.31.21",51674,11,856,6,370,5,486
"192.168.31.21",51675,11,830,6,370,5,460
"192.168.31.21",51676,11,856,6,370,5,486
"192.168.31.21",51677,21,4015,10,2759,11,1256
"192.168.31.21",51678,26,10900,11,2476,15,8424
"192.168.31.21",51679,34,18680,17,6670,17,12010
"192.168.31.21",51680,11,816,6,370,5,446
"192.168.31.21",51681,11,800,6,370,5,430
"192.168.31.21",51682,11,761,6,370,5,391
"192.168.31.21",51683,11,816,6,370,5,446
"192.168.31.21",51684,11,800,6,370,5,430
"192.168.31.21",51685,11,761,6,370,5,391
"192.168.31.21",51686,11,816,6,370,5,446
"192.168.31.21",51687,11,800,6,370,5,430
"192.168.31.21",51688,11,729,6,370,5,359
"192.168.31.21",51689,11,836,6,380,5,456
"192.168.31.21",51690,11,820,6,380,5,440
"192.168.31.21",51691,11,781,6,380,5,401
"192.168.31.21",51692,11,850,6,375,5,475
"192.168.31.21",51693,11,834,6,375,5,459
"192.168.31.21",51694,11,788,6,375,5,413
"192.168.31.21",51695,11,738,6,373,5,365
"192.168.31.21",51696,11,726,6,373,5,353
"192.168.31.21",51697,11,735,6,373,5,362
"192.168.31.21",51698,11,781,6,380,5,401
"192.168.31.21",51699,11,788,6,380,5,408
"192.168.31.21",51700,11,749,6,380,5,369
"192.168.31.21",51701,11,760,6,384,5,376
"192.168.31.21",51702,11,748,6,384,5,364
"192.168.31.21",51703,11,782,6,384,5,398
"192.168.31.21",51704,11,742,6,375,5,367
"192.168.31.21",51705,11,730,6,375,5,355
"192.168.31.21",51706,11,764,6,375,5,389
"192.168.31.21",51707,11,818,6,371,5,447
"192.168.31.21",51708,11,802,6,371,5,431
"192.168.31.21",51709,11,756,6,371,5,385
"192.168.31.21",51710,11,837,6,370,5,467
"192.168.31.21",51711,11,821,6,370,5,451
"192.168.31.21",51712,11,775,6,370,5,405
"192.168.31.21",51713,11,734,6,371,5,363
"192.168.31.21",51714,11,722,6,371,5,351
"192.168.31.21",51715,11,763,6,371,5,392
"192.168.31.21",51716,11,734,6,371,5,363
"192.168.31.21",51717,11,722,6,371,5,351
"192.168.31.21",51718,11,763,6,371,5,392
"192.168.31.21",51719,11,744,6,376,5,368
"192.168.31.21",51720,11,732,6,376,5,356
"192.168.31.21",51723,93,49374,39,9185,54,40189
"192.168.31.21",51724,15,4617,8,2734,7,1883
"192.168.31.21",51725,11,774,6,376,5,398
"192.168.31.21",51726,11,762,6,376,5,386
"192.168.31.21",51727,11,829,6,376,5,453
"192.168.31.21",51728,11,823,6,383,5,440
"192.168.31.21",51729,11,791,6,383,5,408
"192.168.31.21",51730,11,833,6,383,5,450
"192.168.31.21",51731,30,12428,15,6056,15,6372
"192.168.31.21",51732,11,774,6,376,5,398
"192.168.31.21",51733,11,762,6,376,5,386
"192.168.31.21",51734,11,829,6,376,5,453
"192.168.31.21",51735,11,734,6,371,5,363
"192.168.31.21",51736,11,722,6,371,5,351
"192.168.31.21",51737,11,763,6,371,5,392
"192.168.31.21",51738,11,829,6,376,5,453
"192.168.31.21",51739,11,788,6,376,5,412
"192.168.31.21",51740,11,803,6,376,5,427
"192.168.31.21",51741,11,726,6,367,5,359
"192.168.31.21",51742,11,714,6,367,5,347
"192.168.31.21",51743,11,758,6,367,5,391
"192.168.31.21",51744,11,726,6,367,5,359
"192.168.31.21",51745,11,714,6,367,5,347
"192.168.31.21",51746,11,758,6,367,5,391
"192.168.31.21",51747,11,800,6,390,5,410
"192.168.31.21",51748,11,776,6,390,5,386
"192.168.31.21",51749,11,803,6,390,5,413
"192.168.31.21",51752,35,5733,17,3626,18,2107
"192.168.31.21",51753,19,3923,9,2738,10,1185
"192.168.31.21",51754,11,858,6,391,5,467
"192.168.31.21",51755,11,986,6,391,5,595
"192.168.31.21",51756,11,803,6,391,5,412
"192.168.31.21",51757,11,734,6,371,5,363
"192.168.31.21",51758,11,722,6,371,5,351
"192.168.31.21",51759,11,763,6,371,5,392
"192.168.31.21",51760,11,838,6,381,5,457
"192.168.31.21",51761,11,790,6,381,5,409
"192.168.31.21",51762,11,791,6,381,5,410
"192.168.31.21",51763,11,781,6,380,5,401
"192.168.31.21",51764,11,788,6,380,5,408
"192.168.31.21",51765,11,749,6,380,5,369
"192.168.31.21",51766,11,760,6,384,5,376
"192.168.31.21",51767,11,748,6,384,5,364
"192.168.31.21",51768,11,782,6,384,5,398
"192.168.31.21",51769,11,742,6,375,5,367
"192.168.31.21",51770,11,730,6,375,5,355
"192.168.31.21",51771,11,764,6,375,5,389
"192.168.31.21",51772,11,818,6,371,5,447
"192.168.31.21",51773,11,802,6,371,5,431
"192.168.31.21",51774,11,756,6,371,5,385
"192.168.31.21",51775,11,959,6,375,5,584
"192.168.31.21",51776,11,919,6,375,5,544
"192.168.31.21",51778,11,964,6,375,5,589
"192.168.31.21",51782,11,838,6,381,5,457
"192.168.31.21",51783,11,790,6,381,5,409
"192.168.31.21",51784,11,808,6,381,5,427
"192.168.31.21",51786,11,907,6,379,5,528
"192.168.31.21",51787,11,895,6,379,5,516
"192.168.31.21",51788,11,912,6,379,5,533
"192.168.31.21",51789,11,916,6,376,5,540
"192.168.31.21",51790,11,904,6,376,5,528
"192.168.31.21",51791,11,931,6,376,5,555
"192.168.31.21",51794,493,404656,187,16290,306,388366
"192.168.31.21",51795,22,4734,12,3653,10,1081
"192.168.31.21",51796,22,4888,12,3807,10,1081
"192.168.31.21",51797,11,907,6,372,5,535
"192.168.31.21",51798,11,953,6,372,5,581
"192.168.31.21",51799,11,907,6,372,5,535
"192.168.31.21",51800,11,865,6,376,5,489
"192.168.31.21",51801,11,960,6,376,5,584
"192.168.31.21",51802,11,865,6,376,5,489
"192.168.31.21",51803,11,845,6,387,5,458
"192.168.31.21",51804,11,982,7,492,4,490
"192.168.31.21",51805,11,890,7,492,4,398
"192.168.31.21",51806,27,8336,12,2547,15,5789
"192.168.31.21",51807,34,12568,17,5441,17,7127
"192.168.31.21",51808,11,828,6,372,5,456
"192.168.31.21",51809,11,786,6,372,5,414
"192.168.31.21",51810,11,828,6,372,5,456
"192.168.31.21",51811,44,13473,21,4737,23,8736
"192.168.31.21",51812,11,915,6,389,5,526
"192.168.31.21",51813,11,863,6,389,5,474
"192.168.31.21",51814,11,915,6,389,5,526
"192.168.31.21",51815,11,812,6,366,5,446
"192.168.31.21",51816,11,788,6,366,5,422
"192.168.31.21",51817,11,799,6,366,5,433
"192.168.31.21",51818,219,113400,126,98207,93,15193
"192.168.31.21",51820,24,10433,11,3013,13,7420
"192.168.31.21",51822,37,13779,16,4081,21,9698
"192.168.31.21",51823,29,12058,12,3149,17,8909
"192.168.31.21",51824,11,850,6,375,5,475
"192.168.31.21",51825,11,834,6,375,5,459
"192.168.31.21",51826,11,788,6,375,5,413
"192.168.31.21",51827,11,774,6,376,5,398
"192.168.31.21",51828,11,762,6,376,5,386
"192.168.31.21",51829,11,803,6,376,5,427
"192.168.31.21",51832,11,752,6,366,5,386
"192.168.31.21",51833,11,840,6,366,5,474
"192.168.31.21",51834,11,752,6,366,5,386
"192.168.31.21",51835,11,760,6,370,5,390
"192.168.31.21",51836,11,800,6,370,5,430
"192.168.31.21",51837,11,760,6,370,5,390
"192.168.31.21",51838,11,816,6,370,5,446
"192.168.31.21",51839,11,800,6,370,5,430
"192.168.31.21",51840,11,729,6,370,5,359
"192.168.31.21",51841,11,774,6,376,5,398
"192.168.31.21",51842,11,788,6,376,5,412
"192.168.31.21",51843,11,803,6,376,5,427
"192.168.31.21",51844,11,908,6,389,5,519
"192.168.31.21",51845,11,866,6,389,5,477
"192.168.31.21",51846,11,918,6,389,5,529
"192.168.31.21",51848,11,742,6,375,5,367
"192.168.31.21",51849,11,730,6,375,5,355
"192.168.31.21",51850,11,764,6,375,5,389
"192.168.31.21",51852,81,16023,37,7562,44,8461
"192.168.31.21",51853,25,8219,12,2776,13,5443
"192.168.31.21",51854,11,734,6,371,5,363
"192.168.31.21",51855,11,722,6,371,5,351
"192.168.31.21",51856,11,763,6,371,5,392
"192.168.31.21",51857,11,738,6,373,5,365
"192.168.31.21",51858,11,726,6,373,5,353
"192.168.31.21",51859,11,735,6,373,5,362
"192.168.31.21",51860,11,734,6,371,5,363
"192.168.31.21",51861,11,722,6,371,5,351
"192.168.31.21",51862,11,763,6,371,5,392
"192.168.31.21",51863,11,781,6,380,5,401
"192.168.31.21",51864,11,788,6,380,5,408
"192.168.31.21",51865,11,749,6,380,5,369
"192.168.31.21",51866,11,760,6,384,5,376
"192.168.31.21",51867,11,748,6,384,5,364
"192.168.31.21",51868,11,782,6,384,5,398
"192.168.31.21",51869,11,818,6,371,5,447
"192.168.31.21",51870,11,802,6,371,5,431
"192.168.31.21",51871,11,756,6,371,5,385
"192.168.31.21",51872,11,959,6,375,5,584
"192.168.31.21",51873,11,919,6,375,5,544
"192.168.31.21",51874,11,964,6,375,5,589
"192.168.31.21",51875,11,907,6,379,5,528
"192.168.31.21",51876,11,895,6,379,5,516
"192.168.31.21",51877,11,912,6,379,5,533
"192.168.31.21",51878,11,916,6,376,5,540
"192.168.31.21",51879,11,938,7,470,4,468
"192.168.31.21",51880,11,965,7,470,4,495
"192.168.31.21",51882,11,907,6,372,5,535
"192.168.31.21",51883,11,953,6,372,5,581
"192.168.31.21",51884,11,907,6,372,5,535
"192.168.31.21",51885,11,865,6,376,5,489
"192.168.31.21",51886,11,848,6,376,5,472
"192.168.31.21",51887,10,805,6,376,4,429
"192.168.31.21",51888,27,8425,12,2636,15,5789
"192.168.31.21",51889,11,845,6,387,5,458
"192.168.31.21",51890,11,825,6,387,5,438
"192.168.31.21",51891,11,845,6,387,5,458
"192.168.31.21",51892,27,9748,13,3133,14,6615
"192.168.31.21",51893,35,12939,17,5718,18,7221
"192.168.31.21",51894,11,828,6,372,5,456
"192.168.31.21",51895,11,786,6,372,5,414
"192.168.31.21",51896,11,828,6,372,5,456
"192.168.31.21",51897,11,837,6,370,5,467
"192.168.31.21",51898,11,821,6,370,5,451
"192.168.31.21",51899,11,775,6,370,5,405
"192.168.31.21",51900,11,858,6,391,5,467
"192.168.31.21",51901,11,986,6,391,5,595
"192.168.31.21",51902,11,803,6,391,5,412
"192.168.31.21",51903,11,756,6,382,5,374
"192.168.31.21",51904,11,744,6,382,5,362
"192.168.31.21",51905,11,778,6,382,5,396
"192.168.31.21",51906,11,850,6,375,5,475
"192.168.31.21",51907,11,834,6,375,5,459
"192.168.31.21",51908,11,788,6,375,5,413
"192.168.31.21",51909,11,744,6,376,5,368
"192.168.31.21",51910,11,732,6,376,5,356
"192.168.31.21",51912,11,783,6,368,5,415
"192.168.31.21",51913,11,716,6,368,5,348
"192.168.31.21",51914,12,843,6,368,6,475
"192.168.31.21",51915,11,810,6,372,5,438
"192.168.31.21",51916,11,786,6,372,5,414
"192.168.31.21",51917,11,822,6,372,5,450
"192.168.31.21",51919,21,8163,10,3044,11,5119
"192.168.31.21",51920,73,43921,31,5037,42,38884
"192.168.31.21",51922,92,38367,39,10213,53,28154
"192.168.31.21",51923,23,9851,12,2463,11,7388
"192.168.31.21",51924,15,4687,8,2798,7,1889
"192.168.31.21",51925,11,853,6,379,5,474
"192.168.31.21",51926,11,805,6,379,5,426
"192.168.31.21",51927,11,791,6,379,5,412
"192.168.31.21",51931,127,77466,60,5749,67,71717
"192.168.31.21",51932,14,8220,6,2062,8,6158
"192.168.31.21",51933,16,4915,9,2592,7,2323
"192.168.31.21",51936,65,18644,32,11870,33,6774
"192.168.31.21",51937,18,5757,10,2847,8,2910
"192.168.31.21",51938,52,17257,26,9803,26,7454
"192.168.31.21",51939,11,756,6,368,5,388
"192.168.31.21",51940,11,732,6,368,5,364
"192.168.31.21",51941,11,756,6,368,5,388
"192.168.31.21",51942,42,11217,21,5417,21,5800
"192.168.31.21",51943,11,740,6,374,5,366
"192.168.31.21",51944,11,728,6,374,5,354
"192.168.31.21",51945,11,769,6,374,5,395
"192.168.31.21",51946,22,8302,11,2666,11,5636
"192.168.31.21",51947,11,732,6,370,5,362
"192.168.31.21",51948,11,768,6,370,5,398
"192.168.31.21",51949,11,771,6,370,5,401
"192.168.31.21",51950,11,760,6,370,5,390
"192.168.31.21",51951,11,800,6,370,5,430
"192.168.31.21",51952,11,760,6,370,5,390
"192.168.31.21",51953,11,816,6,370,5,446
"192.168.31.21",51954,11,800,6,370,5,430
"192.168.31.21",51955,11,729,6,370,5,359
"192.168.31.21",51956,11,765,6,373,5,392
"192.168.31.21",51957,11,776,6,373,5,403
"192.168.31.21",51958,11,794,6,373,5,421
"192.168.31.21",51961,44,11134,21,3942,23,7192
"192.168.31.21",51962,24,6174,13,3072,11,3102
"192.168.31.21",51963,11,774,6,376,5,398
"192.168.31.21",51964,11,788,6,376,5,412
"192.168.31.21",51965,11,803,6,376,5,427
"192.168.31.21",51967,22,4236,12,2782,10,1454
"192.168.31.21",51968,11,818,6,371,5,447
"192.168.31.21",51969,11,802,6,371,5,431
"192.168.31.21",51970,11,756,6,371,5,385
"192.168.31.21",51971,11,734,6,371,5,363
"192.168.31.21",51972,11,722,6,371,5,351
"192.168.31.21",51973,11,763,6,371,5,392
"192.168.31.21",51974,11,726,6,367,5,359
"192.168.31.21",51975,11,714,6,367,5,347
"192.168.31.21",51976,11,758,6,367,5,391
"192.168.31.21",51977,11,726,6,367,5,359
"192.168.31.21",51978,11,714,6,367,5,347
"192.168.31.21",51979,11,758,6,367,5,391
"192.168.31.21",51980,24,9885,13,4297,11,5588
"192.168.31.21",51981,11,734,6,371,5,363
"192.168.31.21",51982,11,722,6,371,5,351
"192.168.31.21",51983,11,763,6,371,5,392
"192.168.31.21",51984,11,760,6,370,5,390
"192.168.31.21",51985,11,800,6,370,5,430
"192.168.31.21",51986,11,760,6,370,5,390
"192.168.31.21",51987,11,760,6,371,5,389
"192.168.31.21",51988,11,748,6,371,5,377
"192.168.31.21",51989,11,782,6,371,5,411
"192.168.31.21",51990,10,1035,5,520,5,515
"192.168.31.21",51991,10,1033,5,518,5,515
"192.168.31.21",51992,11,752,6,366,5,386
"192.168.31.21",51993,11,840,6,366,5,474
"192.168.31.21",51994,11,752,6,366,5,386
"192.168.31.21",51995,11,858,6,391,5,467
"192.168.31.21",51996,11,970,6,391,5,579
"192.168.31.21",51997,11,803,6,391,5,412
"192.168.31.21",51998,11,810,6,372,5,438
"192.168.31.21",51999,11,786,6,372,5,414
"192.168.31.21",52000,11,822,6,372,5,450
"192.168.31.21",52001,128,101062,53,6744,75,94318
"192.168.31.21",52002,11,853,6,379,5,474
"192.168.31.21",52003,11,805,6,379,5,426
"192.168.31.21",52004,11,791,6,379,5,412
"192.168.31.21",52005,26,5330,13,3750,13,1580
"192.168.31.21",52006,11,838,6,381,5,457
"192.168.31.21",52007,11,790,6,381,5,409
"192.168.31.21",52008,11,808,6,381,5,427
"192.168.31.21",52009,11,772,6,376,5,396
"192.168.31.21",52010,11,748,6,376,5,372
"192.168.31.21",52011,11,789,6,376,5,413
"192.168.31.21",52012,11,728,6,368,5,360
"192.168.31.21",52013,11,748,6,368,5,380
"192.168.31.21",52014,11,761,6,368,5,393
"192.168.31.21",52017,34,12226,16,5655,18,6571
"192.168.31.21",52018,20,3627,10,2659,10,968
"192.168.31.21",52019,11,816,6,370,5,446
"192.168.31.21",52020,11,800,6,370,5,430
"192.168.31.21",52021,11,729,6,370,5,359
"192.168.31.21",52022,11,850,6,375,5,475
"192.168.31.21",52023,11,834,6,375,5,459
"192.168.31.21",52024,11,788,6,375,5,413
"192.168.31.21",52027,38,10860,19,6083,19,4777
"192.168.31.21",52028,20,5884,11,2902,9,2982
"192.168.31.21",52029,11,726,6,367,5,359
"192.168.31.21",52030,11,714,6,367,5,347
"192.168.31.21",52031,11,758,6,367,5,391
"192.168.31.21",52032,11,756,6,382,5,374
"192.168.31.21",52033,11,744,6,382,5,362
"192.168.31.21",52034,11,778,6,382,5,396
"192.168.31.21",52035,11,818,6,371,5,447
"192.168.31.21",52036,11,802,6,371,5,431
"192.168.31.21",52037,11,756,6,371,5,385
"192.168.31.21",52038,11,732,6,370,5,362
"192.168.31.21",52039,11,768,6,370,5,398
"192.168.31.21",52040,11,771,6,370,5,401
"192.168.31.21",52041,11,734,6,371,5,363
"192.168.31.21",52042,11,722,6,371,5,351
"192.168.31.21",52043,11,763,6,371,5,392
"192.168.31.21",52044,11,853,6,379,5,474
"192.168.31.21",52045,11,805,6,379,5,426
"192.168.31.21",52046,11,791,6,379,5,412
"192.168.31.21",52047,11,762,6,385,5,377
"192.168.31.21",52048,11,750,6,385,5,365
"192.168.31.21",52049,11,791,6,385,5,406
"192.168.31.21",52050,1344,297649,535,94570,809,203079
"192.168.31.21",52051,555,90947,306,36143,249,54804
"192.168.31.21",52054,428,51360,217,23706,211,27654
"192.168.31.21",52055,18,3886,10,2756,8,1130
"192.168.31.21",52056,19,5202,9,1003,10,4199
"192.168.31.21",52057,18,5234,9,1002,9,4232
"192.168.31.21",52058,20,6832,10,1348,10,5484
"192.168.31.21",52059,18,8749,7,1570,11,7179
"192.168.31.21",52060,11,758,6,383,5,375
"192.168.31.21",52061,11,746,6,383,5,363
"192.168.31.21",52062,11,787,6,383,5,404
"192.168.31.21",52063,331,214691,189,191893,142,22798
"192.168.31.21",52064,11,920,6,389,5,531
"192.168.31.21",52065,11,864,6,389,5,475
"192.168.31.21",52066,11,907,6,389,5,518
"192.168.31.21",52067,503,257164,293,232358,210,24806
"192.168.31.21",52068,10,2609,6,2270,4,339
"192.168.31.21",52069,10,2514,6,2175,4,339
"192.168.31.21",52070,11,816,6,370,5,446
"192.168.31.21",52071,11,800,6,370,5,430
"192.168.31.21",52072,11,729,6,370,5,359
"192.168.31.21",52073,11,738,6,373,5,365
"192.168.31.21",52074,11,726,6,373,5,353
"192.168.31.21",52075,11,735,6,373,5,362
"192.168.31.21",52076,11,734,6,371,5,363
"192.168.31.21",52077,11,751,7,460,4,291
"192.168.31.21",52078,11,792,7,460,4,332
"192.168.31.21",52079,11,781,6,380,5,401
"192.168.31.21",52080,11,788,6,380,5,408
"192.168.31.21",52081,11,749,6,380,5,369
"192.168.31.21",52082,11,760,6,384,5,376
"192.168.31.21",52083,11,748,6,384,5,364
"192.168.31.21",52084,11,782,6,384,5,398
"192.168.31.21",52085,11,742,6,375,5,367
"192.168.31.21",52086,11,730,6,375,5,355
"192.168.31.21",52087,11,764,6,375,5,389
"192.168.31.21",52088,11,818,6,371,5,447
"192.168.31.21",52089,11,802,6,371,5,431
"192.168.31.21",52090,11,756,6,371,5,385
"192.168.31.21",52091,11,756,6,382,5,374
"192.168.31.21",52092,11,744,6,382,5,362
"192.168.31.21",52093,11,778,6,382,5,396
"192.168.31.21",52094,11,837,6,370,5,467
"192.168.31.21",52095,11,821,6,370,5,451
"192.168.31.21",52096,11,775,6,370,5,405
"192.168.31.21",52097,11,734,6,371,5,363
"192.168.31.21",52098,11,722,6,371,5,351
"192.168.31.21",52099,11,763,6,371,5,392
"192.168.31.21",52100,11,858,6,391,5,467
"192.168.31.21",52101,11,986,6,391,5,595
"192.168.31.21",52102,11,803,6,391,5,412
"192.168.31.21",52103,11,959,6,375,5,584
"192.168.31.21",52104,11,919,6,375,5,544
"192.168.31.21",52105,11,964,6,375,5,589
"192.168.31.21",52106,11,907,6,379,5,528
"192.168.31.21",52107,11,895,6,379,5,516
"192.168.31.21",52108,11,912,6,379,5,533
"192.168.31.21",52109,11,950,7,470,4,480
"192.168.31.21",52110,11,938,7,470,4,468
"192.168.31.21",52111,1,66,1,66,0,0
"192.168.31.21",52115,793,705719,282,21579,511,684140
"192.168.31.21",52116,24,4982,12,3781,12,1201
"192.168.31.21",52118,19,3838,9,2642,10,1196
"192.168.31.21",52119,33,11987,15,3171,18,8816
"192.168.31.21",52120,11,850,6,375,5,475
"192.168.31.21",52121,11,834,6,375,5,459
"192.168.31.21",52122,11,788,6,375,5,413
"192.168.31.21",52125,137,33784,64,21594,73,12190
"192.168.31.21",52126,11,828,6,372,5,456
"192.168.31.21",52127,11,786,6,372,5,414
"192.168.31.21",52128,11,828,6,372,5,456
"192.168.31.21",52129,18,5757,10,2847,8,2910
"192.168.31.21",52130,38,12444,18,4262,20,8182
"192.168.31.21",52131,11,850,6,375,5,475
"192.168.31.21",52132,11,834,6,375,5,459
"192.168.31.21",52133,11,788,6,375,5,413
"192.168.31.21",52134,11,840,6,382,5,458
"192.168.31.21",52135,11,824,6,382,5,442
"192.168.31.21",52136,11,785,6,382,5,403
"192.168.31.21",52137,11,783,6,381,5,402
"192.168.31.21",52138,11,771,6,381,5,390
"192.168.31.21",52139,11,812,6,381,5,431
"192.168.31.21",52140,11,816,6,370,5,446
"192.168.31.21",52141,11,800,6,370,5,430
"192.168.31.21",52142,11,729,6,370,5,359
"192.168.31.21",52143,11,816,6,370,5,446
"192.168.31.21",52144,11,800,6,370,5,430
"192.168.31.21",52145,11,761,6,370,5,391
"192.168.31.21",52146,11,816,6,370,5,446
"192.168.31.21",52147,11,800,6,370,5,430
"192.168.31.21",52148,11,761,6,370,5,391
"192.168.31.21",52149,11,836,6,380,5,456
"192.168.31.21",52150,11,820,6,380,5,440
"192.168.31.21",52151,11,781,6,380,5,401
"192.168.31.21",52152,11,838,6,381,5,457
"192.168.31.21",52153,11,790,6,381,5,409
"192.168.31.21",52154,11,808,6,381,5,427
"192.168.31.21",52157,53,7865,26,4162,27,3703
"192.168.31.21",52158,19,4750,9,2585,10,2165
"192.168.31.21",52159,11,907,6,372,5,535
"192.168.31.21",52160,11,953,6,372,5,581
"192.168.31.21",52161,11,907,6,372,5,535
"192.168.31.21",52162,11,865,6,376,5,489
"192.168.31.21",52163,11,848,6,376,5,472
"192.168.31.21",52164,11,865,6,376,5,489
"192.168.31.21",52165,11,845,6,387,5,458
"192.168.31.21",52166,11,870,7,492,4,378
"192.168.31.21",52167,11,890,7,492,4,398
"192.168.31.21",52168,29,8636,13,2787,16,5849
"192.168.31.21",52169,33,12750,17,5684,16,7066
"192.168.31.21",52170,11,765,6,368,5,397
"192.168.31.21",52171,11,716,6,368,5,348
"192.168.31.21",52172,11,765,6,368,5,397
"192.168.31.21",52173,35,8625,15,4511,20,4114
"192.168.31.21",52174,11,734,6,371,5,363
"192.168.31.21",52175,11,722,6,371,5,351
"192.168.31.21",52176,11,763,6,371,5,392
"192.168.31.21",52177,11,752,6,380,5,372
"192.168.31.21",52178,11,740,6,380,5,360
"192.168.31.21",52179,11,781,6,380,5,401
"192.168.31.21",52184,182,108544,80,14397,102,94147
"192.168.31.21",52185,44,15087,22,3844,22,11243
"192.168.31.21",52186,11,849,6,376,5,473
"192.168.31.21",52187,11,833,6,376,5,457
"192.168.31.21",52188,11,787,6,376,5,411
"192.168.31.21",52189,11,738,6,373,5,365
"192.168.31.21",52190,11,726,6,373,5,353
"192.168.31.21",52191,11,735,6,373,5,362
"192.168.31.21",52193,20,5871,11,2880,9,2991
"192.168.31.21",52194,20,5890,11,2926,9,2964
"192.168.31.21",52196,48,15380,22,4847,26,10533
"192.168.31.21",52197,11,842,6,383,5,459
"192.168.31.21",52198,11,970,6,383,5,587
"192.168.31.21",52199,11,787,6,383,5,404
"192.168.31.21",52200,20,5851,11,2872,9,2979
"192.168.31.21",52201,11,734,6,371,5,363
"192.168.31.21",52202,11,722,6,371,5,351
"192.168.31.21",52203,11,763,6,371,5,392
"192.168.31.21",52204,11,760,6,370,5,390
"192.168.31.21",52205,11,800,6,370,5,430
"192.168.31.21",52206,11,760,6,370,5,390
"192.168.31.21",52207,11,774,6,376,5,398
"192.168.31.21",52208,11,788,6,376,5,412
"192.168.31.21",52209,11,803,6,376,5,427
"192.168.31.21",52212,249,40464,122,21159,127,19305
"192.168.31.21",52213,16,3835,9,2585,7,1250
"192.168.31.21",52214,11,918,6,389,5,529
"192.168.31.21",52215,11,863,6,389,5,474
"192.168.31.21",52216,11,908,6,389,5,519
"192.168.31.21",52217,11,726,6,367,5,359
"192.168.31.21",52218,11,714,6,367,5,347
"192.168.31.21",52219,11,758,6,367,5,391
"192.168.31.21",52220,11,774,6,376,5,398
"192.168.31.21",52221,11,788,6,376,5,412
"192.168.31.21",52222,11,803,6,376,5,427
"192.168.31.21",52223,11,800,6,390,5,410
"192.168.31.21",52224,11,776,6,390,5,386
"192.168.31.21",52225,11,803,6,390,5,413
"192.168.31.21",52228,44,6336,21,3911,23,2425
"192.168.31.21",52229,24,4193,14,3008,10,1185
"192.168.31.21",52230,71,45281,28,4351,43,40930
"192.168.31.21",52231,581,478013,210,27213,371,450800
"192.168.31.21",52232,430,334493,158,22655,272,311838
"192.168.31.21",52233,267,203489,100,14259,167,189230
"192.168.31.21",52234,173,146444,64,5747,109,140697
"192.168.31.21",52235,209,159677,78,10507,131,149170
"192.168.31.21",52236,172,124038,66,9804,106,114234
"192.168.31.21",52237,205,156455,75,10356,130,146099
"192.168.31.21",52238,179,134306,67,9152,112,125154
"192.168.31.21",52239,170,129915,63,8190,107,121725
"192.168.31.21",52240,154,114927,58,7877,96,107050
"192.168.31.21",52241,149,113312,56,7748,93,105564
